Tester,도킹유형,보드번호,PKG_Type,body_Size,양산_FT,보드제작처,Socket제작처,제품명,자작FT가능,Comment
3380&3360D,Flat Cable,C-FB6080-4,28_SOP,,FBHS,FBHS,Manual,A96T448GRN,O,"DUT0,1 : 28pin"
3380&3360D,Flat Cable,C-FB6080-4,28_TSSOP,,FBHS,FBHS,Manual,A96T448GDN,O,"DUT0,1 : 28pin"
3380&3360D,Flat Cable,C-FB6080-4,20_SOP,,FBHS,FBHS,Manual,A96T448FRN,O,"DUT2,3 : 20pin"
3380&3360D,Flat Cable,C-FB6080-4,20_TSSOP,,FBHS,FBHS,Manual,A96T448FDN,O,"DUT2,3 : 20pin"
3380&3360D,Flat Cable,C-FB6080-5,,,FBHS,FBHS,,,,
3380&3360D,Flat Cable,C-FB6080-6,,,FBHS,FBHS,Manual,신민정 개발,O,"DUT0,1 : A96H115LUN
DUT2 : A31C111(32QFN- manual pkg)"
3380&3360D,Flat Cable,C-FB6080-7,,,FBHS,FBHS,Manual,A96T428,,
3380&3360D,Flat Cable,C-FB6080-8,,,FBHS,FBHS,Manual,BLANK,,
3380&3360D,Flat Cable,C-FB6080-9,,,FBHS,FBHS,Manual,BLANK,,
3380&3360D,Flat Cable,C-FB6080-10,,,FBHS,FBHS,Manual,A31C122FRN,,
3380&3360D,Flat Cable,C-FB6080-11,,,FBHS,FBHS,Manual,신민정 개발, ,DUT0 : A31C111 ( 20_QFN 소켓 1개 )
3380&3360D,Flat Cable,C-FB6080-12,,,FBHS,FBHS,Manual,A31C111FRN, , 28_TSSOP 소켓 4개 
3380&3360D,Flat Cable,C-FB6080-13,,,GMTEST,FBHS,Manual,A31S134KUN-DUT1/2,,
3380&3360D,Flat Cable,C-FB6080-14,,,FBHS,FBHS,Manual,BLANK,,
3380&3360D,Flat Cable,C-FB6080-15,,,FBHS,FBHS,Manual,BLANK,,
3380&3360D,Flat Cable,C-FB6080-16,,,FBHS,FBHS,Manual,BLANK,,
3380&3360D,Flat Cable,C-FB6080-17,,,FBHS,FBHS,Manual,BLANK,,
3380&3360D,Flat Cable,C-FB6080-18,,,FBHS,FBHS,Manual,BLANK,,
3380&3360D,Flat Cable,C-FB6080-19,,,FBHS,FBHS,Manual,BLANK,,
3380&3360D,Flat Cable,C-FB6080-20,20_QFN,,FBHS,FBHS,Manual,A96L416FUN,,
3360D,Flat Cable,A-FB60-1,,,FBHS,FBHS,FBHS,A96G174FRN,O,　
3360D,Flat Cable,A-FB60-2,,,FBHS,FBHS,FBHS,A96G166 :DUT1,　,　
3360D,Flat Cable,A-FB60-2,,,FBHS,FBHS,FBHS,A31L123GRN:DUT2,,
3360D,Flat Cable,A-FB60-3,,,FBHS,FBHS,FBHS,A96L523LRN,O,　
3360D,Flat Cable,A-FB60-3,,,FBHS,FBHS,FBHS,GSTD1001,,
3360D,Flat Cable,A-FB60-4,,,FBHS,FBHS,FBHS,A96T418GDN,O,SOP_20_24_28
3360D,Flat Cable,A-FB60-4,,,FBHS,FBHS,FBHS,A96T418LDN,,
3360D,Flat Cable,A-FB60-4,,,FBHS,FBHS,FBHS,A96T418FDN,,
3360D,Flat Cable,A-FB60-5,,,FBHS,FBHS,FBHS,AL1115HDN,　,　
3360D,Flat Cable,A-FB60-5,,,FBHS,FBHS,FBHS,SECAIR SCM02,,
